zona,tipo_negocio,monto_credito,cuotas_pagadas,mujer_emprendedora,hijos,default
Selva,Servicios,4027,10,0,3,0
Costa,Comercio,557,6,1,4,0
Costa,Agrícola,4925,1,1,4,0
Sierra,Ganadero,3901,8,0,4,0
Sierra,Servicios,2362,6,0,0,0
Selva,Ganadero,2072,0,1,3,0
Sierra,Comercio,3053,0,1,2,0
Sierra,Comercio,3827,9,1,3,0
Selva,Agrícola,4714,0,1,1,0
Sierra,Agrícola,2682,6,1,0,0
Costa,Servicios,3628,4,1,3,0
Sierra,Ganadero,3360,9,1,4,0
Costa,Agrícola,2183,8,0,4,0
Sierra,Servicios,2870,2,1,1,0
Selva,Agrícola,562,4,1,0,0
Costa,Agrícola,3043,7,1,1,0
Selva,Comercio,4510,7,1,3,0
Costa,Ganadero,2606,3,0,4,0
Costa,Ganadero,535,3,0,4,0
Costa,Servicios,3812,10,1,3,0
Selva,Agrícola,564,2,1,4,1
Sierra,Comercio,4216,10,1,4,0
Selva,Comercio,2720,10,0,1,0
Costa,Comercio,1865,10,1,1,0
Sierra,Comercio,1023,6,1,0,0
Selva,Servicios,4457,6,1,3,0
Sierra,Servicios,3591,1,0,3,0
Selva,Comercio,578,2,0,1,0
Costa,Servicios,1837,6,0,1,0
Selva,Agrícola,1029,9,1,2,0
Sierra,Ganadero,3440,7,1,3,0
Selva,Comercio,4993,4,1,0,0
Selva,Comercio,3813,7,1,3,0
Sierra,Comercio,3766,8,1,4,0
Costa,Ganadero,3680,8,1,4,0
Selva,Comercio,749,9,0,3,0
Selva,Comercio,3037,9,1,0,0
Sierra,Comercio,913,3,1,1,0
Sierra,Ganadero,2391,4,1,4,0
Costa,Servicios,1478,0,0,1,1
Sierra,Comercio,4947,0,1,1,0
Selva,Servicios,703,9,1,3,0
Selva,Ganadero,3469,8,1,3,0
Costa,Servicios,2464,0,0,4,0
Costa,Ganadero,3353,6,0,3,0
Selva,Ganadero,2342,7,0,0,1
Sierra,Comercio,1627,4,0,4,0
Selva,Agrícola,2042,5,0,2,0
Costa,Agrícola,2300,11,1,2,0
Selva,Ganadero,3812,10,1,1,0
Sierra,Comercio,1760,9,1,3,0
Costa,Ganadero,2506,4,0,1,0
Selva,Agrícola,4045,4,1,3,0
Sierra,Agrícola,1124,0,0,3,0
Selva,Comercio,4114,9,1,0,0
Selva,Agrícola,4207,2,1,4,0
Costa,Servicios,1735,9,1,0,0
Costa,Ganadero,1753,8,1,3,0
Selva,Servicios,4881,11,1,4,0
Sierra,Comercio,3388,5,1,4,0
Selva,Comercio,1572,7,0,1,0
Costa,Agrícola,2098,11,1,4,0
Sierra,Servicios,3318,4,1,1,0
Selva,Servicios,676,6,0,1,0
Selva,Ganadero,2908,1,1,3,0
Costa,Ganadero,3705,2,0,1,0
Costa,Ganadero,4708,6,0,4,0
Sierra,Agrícola,3595,5,0,2,0
Selva,Comercio,4900,3,0,2,0
Costa,Agrícola,2602,5,0,3,0
Selva,Agrícola,4674,9,1,4,1
Sierra,Comercio,3228,10,1,4,0
Selva,Agrícola,1122,10,1,4,0
Costa,Comercio,4774,9,1,2,0
Costa,Agrícola,4440,8,0,4,0
Costa,Agrícola,4165,2,0,0,1
Sierra,Agrícola,1207,5,1,4,0
Selva,Agrícola,3793,10,1,3,0
Costa,Ganadero,1579,1,1,4,0
Sierra,Comercio,2926,8,0,3,0
Sierra,Comercio,3235,6,1,3,0
Costa,Ganadero,1123,7,1,2,0
Costa,Comercio,3757,6,0,2,0
Sierra,Agrícola,3733,6,1,3,0
Sierra,Comercio,4291,7,0,4,1
Costa,Servicios,4656,3,0,4,0
Costa,Servicios,1701,11,0,4,0
Costa,Ganadero,4538,10,1,3,0
Costa,Agrícola,4327,1,0,2,0
Sierra,Agrícola,979,2,0,4,1
Selva,Servicios,1830,0,1,2,0
Selva,Ganadero,1207,5,1,2,0
Sierra,Agrícola,4874,8,1,3,0
Sierra,Ganadero,1544,8,1,3,0
Costa,Servicios,755,4,1,3,0
Costa,Comercio,1668,10,0,4,0
Sierra,Agrícola,2676,6,0,3,0
Sierra,Ganadero,4756,6,0,0,0
Sierra,Agrícola,2485,11,1,2,0
Sierra,Agrícola,4965,4,1,0,0
Sierra,Comercio,1974,10,1,3,0
Sierra,Servicios,2488,5,0,1,0
Sierra,Agrícola,2634,3,1,3,0
Costa,Agrícola,3394,4,1,0,0
Sierra,Agrícola,4301,1,1,4,0
Selva,Comercio,4877,1,1,2,1
Selva,Comercio,3678,11,0,1,0
Selva,Ganadero,2696,7,0,1,0
Sierra,Ganadero,4762,1,0,1,0
Costa,Agrícola,3724,11,0,2,0
Sierra,Comercio,3221,4,1,0,0
Sierra,Ganadero,1750,11,0,4,0
Selva,Comercio,3505,11,0,3,0
Selva,Servicios,1438,8,1,4,0
Costa,Ganadero,2528,6,0,2,0
Costa,Ganadero,722,10,1,0,0
Costa,Agrícola,2500,11,1,0,0
Costa,Comercio,2118,11,1,3,0
Costa,Servicios,1075,7,1,2,0
Costa,Servicios,1542,2,0,1,1
Costa,Ganadero,3835,2,0,3,0
Selva,Comercio,3644,8,0,0,0
Selva,Ganadero,1107,9,0,0,0
Selva,Servicios,3028,7,1,1,1
Selva,Comercio,4977,1,0,4,1
Selva,Servicios,1291,2,1,1,1
Sierra,Comercio,999,3,1,1,0
Costa,Comercio,4084,6,1,4,0
Costa,Agrícola,4933,5,0,1,0
Sierra,Ganadero,4138,1,1,3,0
Costa,Comercio,1332,9,0,3,0
Selva,Ganadero,2495,5,0,4,0
Selva,Ganadero,3310,1,0,3,0
Costa,Agrícola,4430,10,1,0,0
Selva,Ganadero,2506,2,0,0,1
Selva,Agrícola,1811,0,1,3,0
Selva,Comercio,1564,5,1,3,1
Costa,Comercio,1587,4,1,0,0
Selva,Ganadero,2219,9,1,2,0
Selva,Comercio,3151,0,1,2,1
Costa,Servicios,1448,0,1,3,0
Sierra,Ganadero,2188,0,0,4,0
Selva,Agrícola,2437,2,1,0,1
Selva,Comercio,4612,8,1,4,0
Selva,Comercio,831,10,1,2,0
Selva,Servicios,3199,10,1,0,0
Sierra,Ganadero,3562,3,1,2,0
Selva,Comercio,1273,2,0,1,0
Sierra,Ganadero,4216,4,1,4,0
Sierra,Agrícola,4268,10,1,1,0
Costa,Comercio,1022,5,1,2,0
Selva,Agrícola,4961,9,1,4,0
Selva,Servicios,851,10,0,1,0
Sierra,Comercio,4161,2,0,0,0
Costa,Agrícola,3881,2,1,1,0
Costa,Servicios,2562,5,1,2,0
Sierra,Comercio,4824,4,0,1,0
Sierra,Comercio,4189,6,1,4,0
Selva,Comercio,2874,7,1,4,0
Sierra,Agrícola,4838,5,1,3,0
Costa,Ganadero,3623,9,1,2,0
Sierra,Ganadero,2731,5,1,3,0
Selva,Agrícola,2331,10,0,4,0
Selva,Agrícola,967,5,0,2,0
Selva,Servicios,900,6,0,0,0
Sierra,Servicios,4511,1,1,2,1
Selva,Agrícola,2920,4,0,3,0
Costa,Comercio,4686,11,1,0,0
Costa,Servicios,4321,0,1,1,0
Costa,Agrícola,2111,6,1,2,0
Sierra,Servicios,2620,1,1,2,1
Sierra,Ganadero,3994,6,1,0,0
Costa,Comercio,1949,2,1,2,0
Selva,Ganadero,3195,5,1,4,0
Selva,Servicios,4602,2,0,0,0
Selva,Ganadero,784,10,1,2,0
Costa,Servicios,4526,2,1,2,0
Costa,Comercio,2529,9,1,2,0
Sierra,Ganadero,3601,5,0,3,0
Selva,Comercio,4549,0,0,0,0
Costa,Comercio,1325,11,0,2,0
Selva,Agrícola,3324,4,1,0,0
Costa,Servicios,1895,1,0,4,0
Sierra,Agrícola,2829,5,0,4,0
Costa,Agrícola,1493,0,1,3,0
Costa,Ganadero,4267,2,1,2,1
Sierra,Agrícola,3276,10,0,2,0
Selva,Agrícola,2538,3,1,0,0
Selva,Ganadero,4900,6,0,0,1
Sierra,Comercio,743,11,0,2,0
Costa,Servicios,2619,8,1,4,0
Selva,Servicios,1661,9,1,2,0
Costa,Servicios,506,3,0,2,0
Selva,Comercio,4767,1,1,0,1
Costa,Ganadero,1279,1,1,1,0
Sierra,Agrícola,3565,0,0,4,0
Costa,Comercio,628,0,1,1,0
Selva,Agrícola,2293,10,1,1,0
Selva,Ganadero,1649,10,1,0,0
Selva,Agrícola,3492,6,1,1,1
Costa,Servicios,3581,11,0,1,0
Costa,Agrícola,4259,9,1,4,0
Sierra,Agrícola,703,11,1,2,0
Costa,Ganadero,2067,8,0,1,0
Costa,Agrícola,2890,11,1,0,0
Selva,Ganadero,3050,0,1,3,0
Selva,Comercio,4098,1,1,3,0
Costa,Agrícola,3856,5,1,2,0
Sierra,Ganadero,1789,6,0,1,0
Sierra,Agrícola,1624,7,1,3,0
Sierra,Ganadero,968,4,1,4,0
Selva,Agrícola,3740,0,1,4,0
Costa,Agrícola,3346,10,1,3,0
Sierra,Servicios,4235,1,0,2,1
Selva,Agrícola,3292,8,1,2,0
Sierra,Agrícola,4692,5,0,4,0
Selva,Agrícola,2604,6,1,4,0
Selva,Servicios,1523,0,1,2,0
Sierra,Comercio,3407,5,1,0,0
Selva,Comercio,3109,9,1,0,0
Selva,Agrícola,1193,8,0,1,0
Costa,Comercio,2600,6,1,2,0
Selva,Agrícola,2213,6,1,4,0
Costa,Comercio,1273,9,1,0,0
Costa,Agrícola,3074,6,1,2,0
Costa,Ganadero,1604,6,0,4,0
Costa,Servicios,3010,5,0,2,0
Sierra,Agrícola,2629,6,1,3,0
Selva,Agrícola,2952,3,1,2,0
Sierra,Servicios,3844,4,1,3,0
Sierra,Servicios,4635,0,1,4,1
Selva,Agrícola,911,3,0,1,0
Sierra,Agrícola,2656,4,0,2,0
Selva,Servicios,1149,4,1,4,0
Costa,Comercio,2072,1,1,2,0
Sierra,Ganadero,4013,2,0,0,1
Costa,Comercio,2523,7,1,4,0
Sierra,Ganadero,4760,8,1,1,0
Costa,Ganadero,4115,5,0,2,0
Costa,Agrícola,2300,9,1,3,0
Costa,Ganadero,3461,3,1,3,0
Sierra,Agrícola,4576,8,1,4,0
Sierra,Comercio,4115,9,1,3,1
Sierra,Agrícola,2015,3,1,3,0
Selva,Ganadero,2748,5,1,0,0
Selva,Ganadero,1104,4,1,2,0
Sierra,Agrícola,1807,1,1,1,0
Sierra,Agrícola,3591,11,1,2,0
Costa,Comercio,1004,0,1,2,0
Costa,Servicios,1412,10,0,1,0
