antiguedad_meses,satisfaccion,departamento,promociones,tipo_contrato,home_office,renuncia
29,1.5,Ventas,0,Indefinido,1,0
24,3.1,Recursos Humanos,1,Indefinido,1,0
113,1.7,Ventas,0,Indefinido,1,1
59,3.9,Recursos Humanos,0,Indefinido,1,0
6,2.5,Finanzas,1,Temporal,0,0
39,4.4,Ventas,0,Indefinido,1,0
29,2.7,Ventas,1,Temporal,0,0
108,4.9,IT,0,Indefinido,1,0
77,2.7,Ventas,1,Temporal,0,0
4,2.9,Ventas,0,Indefinido,0,0
41,2.1,Ventas,1,Temporal,0,1
1,2.2,Recursos Humanos,2,Temporal,0,0
33,4.7,Ventas,2,Indefinido,0,0
24,4.2,IT,1,Temporal,1,1
86,1.8,Recursos Humanos,0,Indefinido,1,0
115,5.0,Finanzas,1,Indefinido,0,0
12,2.6,IT,1,Indefinido,1,0
116,2.7,Ventas,1,Indefinido,1,0
86,2.1,Ventas,2,Indefinido,0,0
10,4.6,Finanzas,1,Indefinido,1,0
70,3.1,IT,1,Temporal,1,1
38,2.5,Finanzas,1,Temporal,1,0
90,3.0,Recursos Humanos,0,Indefinido,0,0
112,2.4,IT,0,Indefinido,1,1
48,4.4,Recursos Humanos,2,Indefinido,0,0
115,1.8,Finanzas,2,Indefinido,1,0
90,3.9,IT,0,Indefinido,1,0
40,3.6,Ventas,1,Temporal,1,0
55,2.3,Recursos Humanos,1,Indefinido,0,0
69,4.5,IT,1,Temporal,1,0
53,2.9,Finanzas,2,Temporal,1,0
119,1.9,Finanzas,0,Indefinido,1,0
115,4.1,Ventas,1,Indefinido,0,0
104,4.6,Ventas,2,Indefinido,1,0
88,3.2,Recursos Humanos,0,Indefinido,0,0
52,1.8,Finanzas,0,Indefinido,0,0
57,5.0,Finanzas,0,Temporal,1,1
114,2.8,Finanzas,1,Indefinido,0,0
46,3.8,IT,2,Temporal,0,0
29,2.9,Recursos Humanos,0,Temporal,1,0
8,3.6,Finanzas,1,Indefinido,1,0
48,4.8,IT,2,Indefinido,0,0
72,3.4,Finanzas,2,Temporal,0,0
90,3.3,Recursos Humanos,1,Indefinido,0,0
46,4.1,Recursos Humanos,0,Indefinido,1,0
20,1.1,Ventas,1,Indefinido,1,1
12,2.5,IT,1,Indefinido,1,0
34,4.4,Ventas,0,Temporal,1,0
110,4.7,Ventas,2,Temporal,0,0
5,3.7,Recursos Humanos,1,Indefinido,0,0
50,4.7,Recursos Humanos,2,Indefinido,1,0
36,1.1,Recursos Humanos,0,Temporal,0,1
25,4.0,Finanzas,1,Temporal,0,0
24,2.5,Recursos Humanos,1,Indefinido,0,0
116,2.8,Finanzas,1,Indefinido,1,0
86,2.3,Recursos Humanos,2,Indefinido,0,0
12,2.7,Ventas,0,Temporal,0,1
93,1.7,Recursos Humanos,0,Temporal,1,0
118,2.6,Ventas,0,Indefinido,1,0
29,1.1,Recursos Humanos,1,Indefinido,1,0
9,1.7,Recursos Humanos,2,Indefinido,1,0
100,3.9,IT,0,Temporal,1,0
101,2.3,Finanzas,0,Indefinido,0,1
112,3.1,Ventas,0,Indefinido,0,0
53,2.0,Ventas,0,Indefinido,0,1
62,1.1,IT,1,Indefinido,0,0
36,4.7,Recursos Humanos,1,Temporal,0,1
109,3.6,IT,2,Indefinido,0,0
27,4.6,Ventas,0,Indefinido,1,0
80,4.0,Ventas,1,Temporal,0,1
34,1.5,Ventas,2,Temporal,0,0
107,3.3,Finanzas,0,Temporal,0,0
109,2.6,IT,2,Temporal,0,0
2,2.2,Ventas,1,Indefinido,0,0
4,1.6,IT,2,Indefinido,1,0
69,5.0,Recursos Humanos,1,Indefinido,0,0
53,2.0,Ventas,2,Indefinido,1,0
78,3.0,Finanzas,2,Temporal,0,1
88,2.3,IT,2,Indefinido,1,0
41,2.3,Ventas,1,Indefinido,0,0
60,4.7,Ventas,2,Temporal,0,1
49,3.0,Ventas,2,Indefinido,0,0
69,2.4,IT,0,Indefinido,0,0
27,2.5,Ventas,2,Indefinido,1,0
55,2.6,Finanzas,1,Temporal,0,0
67,3.0,IT,2,Indefinido,1,0
27,1.9,Recursos Humanos,2,Indefinido,1,0
88,3.2,Ventas,2,Indefinido,0,0
69,2.2,Recursos Humanos,2,Indefinido,1,0
93,2.3,Ventas,1,Indefinido,0,0
83,3.9,Finanzas,0,Indefinido,0,0
32,2.6,Ventas,2,Temporal,0,1
19,1.2,Finanzas,1,Temporal,0,1
104,4.0,Ventas,1,Indefinido,1,0
116,1.8,IT,1,Indefinido,0,0
14,3.3,Ventas,0,Indefinido,1,0
47,3.7,Finanzas,1,Indefinido,1,0
37,4.3,Recursos Humanos,0,Indefinido,0,0
20,2.7,Finanzas,1,Indefinido,1,0
73,2.7,Recursos Humanos,0,Indefinido,1,0
54,1.0,Ventas,1,Indefinido,1,0
38,4.8,Finanzas,0,Indefinido,1,0
101,2.9,Recursos Humanos,0,Indefinido,1,0
69,1.3,IT,2,Indefinido,0,0
94,3.6,IT,0,Temporal,1,0
9,3.6,Recursos Humanos,1,Indefinido,0,0
109,1.2,Finanzas,2,Temporal,1,1
29,2.7,Finanzas,1,Indefinido,1,0
54,1.0,Finanzas,0,Indefinido,1,0
18,2.5,Recursos Humanos,1,Indefinido,1,0
49,3.9,Ventas,2,Temporal,0,1
22,3.9,Ventas,0,Indefinido,0,0
87,3.1,Ventas,2,Indefinido,1,0
64,4.1,Finanzas,0,Indefinido,1,0
45,2.3,Finanzas,2,Temporal,1,0
113,2.5,Recursos Humanos,0,Indefinido,0,0
37,1.5,Recursos Humanos,2,Indefinido,0,0
7,4.0,Ventas,0,Indefinido,1,0
98,1.7,Ventas,2,Indefinido,0,1
75,2.2,Finanzas,2,Indefinido,1,0
14,3.1,Ventas,1,Indefinido,1,0
91,1.4,Finanzas,0,Temporal,0,0
74,4.2,Ventas,2,Indefinido,0,0
64,1.5,Finanzas,0,Temporal,0,0
63,3.9,Recursos Humanos,0,Indefinido,0,0
114,1.4,Ventas,2,Indefinido,1,0
40,2.8,Recursos Humanos,1,Indefinido,0,0
102,3.8,Recursos Humanos,1,Temporal,1,0
87,3.6,Recursos Humanos,2,Temporal,0,0
13,5.0,Recursos Humanos,1,Temporal,1,0
118,1.3,Recursos Humanos,1,Indefinido,0,0
9,1.7,Finanzas,0,Indefinido,0,0
4,4.3,Recursos Humanos,1,Indefinido,0,0
108,3.0,Ventas,0,Indefinido,1,0
76,4.2,Ventas,2,Indefinido,1,0
46,1.5,Finanzas,2,Temporal,0,0
36,1.9,Finanzas,2,Indefinido,1,0
13,2.8,Finanzas,2,Indefinido,1,0
46,4.0,Finanzas,0,Indefinido,1,0
48,3.9,IT,1,Indefinido,0,0
46,4.2,Recursos Humanos,2,Temporal,0,0
42,1.5,Recursos Humanos,1,Temporal,0,0
39,3.9,Finanzas,0,Indefinido,0,0
54,4.6,Ventas,0,Indefinido,1,0
36,4.9,Ventas,2,Indefinido,1,0
55,3.7,IT,1,Temporal,1,0
80,3.5,IT,1,Indefinido,1,0
63,3.5,Recursos Humanos,0,Indefinido,0,0
103,4.3,Recursos Humanos,0,Temporal,0,0
53,4.9,Finanzas,0,Indefinido,1,0
74,2.7,IT,0,Indefinido,0,0
17,3.1,Recursos Humanos,2,Temporal,0,0
70,3.5,Finanzas,0,Temporal,0,0
29,5.0,Ventas,1,Indefinido,0,0
2,3.9,IT,2,Indefinido,1,0
64,3.2,IT,0,Indefinido,0,0
59,2.7,Finanzas,1,Indefinido,1,0
76,2.0,IT,1,Temporal,0,0
65,5.0,Ventas,2,Indefinido,1,0
75,1.5,Ventas,0,Temporal,1,0
119,1.7,Ventas,1,Temporal,1,0
17,1.7,Recursos Humanos,1,Indefinido,1,0
60,2.1,Recursos Humanos,1,Indefinido,0,0
61,1.3,Recursos Humanos,1,Indefinido,0,0
54,4.1,Recursos Humanos,2,Indefinido,0,0
8,2.5,Ventas,1,Indefinido,1,0
105,3.9,Ventas,1,Indefinido,1,0
96,1.4,IT,2,Indefinido,1,0
105,1.9,Recursos Humanos,0,Indefinido,1,0
93,3.2,IT,0,Indefinido,0,1
3,4.9,Recursos Humanos,1,Indefinido,0,0
101,1.1,Finanzas,1,Indefinido,0,0
102,4.4,Finanzas,2,Indefinido,1,0
10,4.5,Recursos Humanos,0,Temporal,1,0
119,4.3,Finanzas,2,Temporal,1,0
102,2.2,IT,1,Indefinido,1,0
92,3.8,Ventas,0,Temporal,1,0
37,2.2,Ventas,0,Temporal,1,1
47,4.6,Recursos Humanos,2,Indefinido,1,0
13,1.1,IT,1,Indefinido,0,0
28,4.2,Ventas,0,Temporal,1,0
38,1.8,Ventas,0,Temporal,0,1
69,4.7,Ventas,1,Indefinido,0,0
83,2.6,Recursos Humanos,1,Temporal,0,0
53,2.5,IT,1,Indefinido,1,0
45,2.0,Recursos Humanos,1,Temporal,0,0
115,3.5,Ventas,1,Indefinido,1,0
95,2.8,Recursos Humanos,2,Indefinido,0,0
98,3.8,Ventas,0,Indefinido,1,0
78,4.0,IT,0,Indefinido,0,1
74,1.4,Finanzas,0,Indefinido,1,0
45,3.8,Ventas,1,Indefinido,0,0
41,4.4,Finanzas,1,Indefinido,1,0
91,3.5,IT,0,Indefinido,1,0
63,3.9,Ventas,0,Temporal,1,0
5,4.4,Ventas,0,Temporal,1,1
63,1.9,Ventas,1,Indefinido,0,0
108,3.4,Finanzas,0,Indefinido,0,0
5,3.2,IT,2,Temporal,1,0
112,2.0,Finanzas,0,Indefinido,0,0
119,2.4,Finanzas,1,Indefinido,1,0
31,3.0,Finanzas,0,Temporal,1,0
16,2.1,IT,0,Temporal,0,0
29,2.3,Finanzas,2,Indefinido,1,0
117,3.2,Ventas,2,Indefinido,0,0
75,3.2,Recursos Humanos,2,Temporal,1,0
41,2.0,Ventas,0,Indefinido,1,0
3,2.6,Recursos Humanos,1,Indefinido,0,0
81,1.7,IT,1,Temporal,1,0
3,3.1,Finanzas,0,Temporal,1,0
23,2.2,IT,1,Indefinido,0,0
8,3.1,IT,2,Indefinido,1,0
99,1.9,Recursos Humanos,2,Indefinido,1,0
49,4.7,Ventas,1,Temporal,1,0
97,4.0,Ventas,0,Indefinido,1,0
107,4.3,Finanzas,0,Temporal,1,0
103,3.5,Recursos Humanos,2,Indefinido,1,0
86,2.8,Recursos Humanos,1,Indefinido,1,0
34,2.2,Ventas,0,Temporal,0,0
101,1.5,IT,2,Indefinido,0,0
57,2.7,IT,2,Indefinido,0,0
60,4.9,Ventas,0,Temporal,0,0
119,4.3,Finanzas,2,Indefinido,0,0
83,4.0,Finanzas,1,Indefinido,0,0
83,2.1,Recursos Humanos,2,Indefinido,1,0
81,2.1,Recursos Humanos,2,Indefinido,0,0
67,2.7,IT,1,Indefinido,0,1
49,2.6,Finanzas,1,Indefinido,0,0
43,1.6,Finanzas,1,Indefinido,0,0
17,4.2,Ventas,2,Indefinido,1,0
17,2.3,Recursos Humanos,1,Temporal,1,0
76,1.4,IT,2,Indefinido,0,0
35,2.4,Recursos Humanos,1,Indefinido,0,0
38,4.6,Finanzas,1,Indefinido,1,0
119,2.7,IT,2,Indefinido,1,0
30,4.9,Finanzas,2,Indefinido,1,0
116,4.5,IT,0,Indefinido,0,0
35,3.3,Recursos Humanos,1,Temporal,0,0
24,3.6,Ventas,2,Indefinido,1,0
98,2.5,Recursos Humanos,0,Indefinido,0,0
35,2.7,IT,0,Indefinido,1,0
78,2.7,Ventas,0,Temporal,1,0
49,4.3,IT,1,Indefinido,1,0
81,1.4,IT,1,Indefinido,1,1
51,2.3,Recursos Humanos,1,Indefinido,0,1
54,3.5,Finanzas,1,Indefinido,1,0
2,3.2,Recursos Humanos,2,Indefinido,1,0
35,4.3,Ventas,1,Temporal,0,0
2,1.4,IT,0,Indefinido,0,0
29,2.4,Finanzas,2,Indefinido,1,0
13,2.7,IT,1,Temporal,1,0
56,3.4,Ventas,0,Temporal,1,0
51,2.8,IT,0,Indefinido,1,0
29,3.6,IT,2,Indefinido,1,0
54,3.6,Finanzas,0,Temporal,1,0
37,3.7,IT,1,Indefinido,0,0
88,4.8,IT,1,Indefinido,0,0
80,1.2,Ventas,2,Indefinido,0,0
68,3.9,Finanzas,0,Temporal,1,1
74,2.5,Ventas,0,Indefinido,1,0
87,4.0,Recursos Humanos,1,Temporal,1,1
46,4.5,Finanzas,2,Indefinido,1,0
81,2.8,Recursos Humanos,2,Indefinido,1,0
70,3.0,IT,0,Indefinido,1,0
44,2.3,IT,0,Indefinido,0,0
32,2.9,Recursos Humanos,1,Indefinido,1,0
116,4.7,IT,1,Indefinido,1,0
42,1.9,Ventas,0,Temporal,0,0
38,2.0,Finanzas,2,Indefinido,0,1
37,1.7,IT,1,Indefinido,0,1
105,3.0,Recursos Humanos,1,Indefinido,1,0
119,2.4,IT,0,Temporal,1,0
11,2.5,Finanzas,2,Indefinido,0,0
16,1.1,IT,1,Temporal,0,0
26,2.7,Ventas,1,Indefinido,1,0
64,2.7,Finanzas,2,Indefinido,0,0
10,3.4,IT,1,Temporal,0,0
91,3.4,Ventas,2,Indefinido,0,0
39,3.5,Recursos Humanos,2,Indefinido,1,0
4,3.7,IT,0,Temporal,0,0
