duracion_video_seg,plataforma,segmento,likes,comentarios,conversion
46,Facebook,Adulto,524,91,0
90,Facebook,Senior,36,21,0
55,Facebook,Senior,588,198,0
77,Facebook,Senior,234,182,0
64,Facebook,Joven,970,161,0
52,Instagram,Senior,658,176,0
38,Facebook,Joven,200,184,0
21,Instagram,Senior,293,74,0
67,Instagram,Joven,980,34,0
59,YouTube,Joven,985,167,0
33,Facebook,Joven,992,164,0
49,Facebook,Joven,485,116,0
35,Instagram,Joven,355,82,0
52,YouTube,Joven,56,197,0
45,Instagram,Joven,434,174,0
39,YouTube,Senior,542,182,1
92,YouTube,Adulto,804,189,1
108,Instagram,Adulto,249,33,0
30,Instagram,Joven,235,24,0
35,Instagram,Joven,187,159,0
16,Instagram,Joven,440,169,0
50,Instagram,Adulto,374,125,0
23,Instagram,Adulto,334,77,0
44,YouTube,Senior,465,139,0
64,Instagram,Senior,403,168,0
51,Instagram,Adulto,691,140,0
79,YouTube,Joven,548,24,1
70,Facebook,Senior,645,2,1
23,Facebook,Adulto,234,83,0
99,Instagram,Adulto,595,45,1
17,Facebook,Joven,142,66,0
80,Facebook,Adulto,768,38,1
21,YouTube,Senior,984,171,0
20,Instagram,Senior,111,57,0
20,YouTube,Senior,412,167,1
63,YouTube,Adulto,547,49,1
55,Facebook,Joven,329,61,0
75,Instagram,Adulto,559,180,0
79,Instagram,Senior,107,75,0
59,YouTube,Senior,165,48,0
61,YouTube,Joven,454,179,0
59,Facebook,Senior,440,177,0
94,Instagram,Adulto,252,50,0
68,YouTube,Senior,857,141,1
17,Facebook,Joven,980,1,0
61,Instagram,Senior,181,13,0
64,Instagram,Joven,950,27,1
26,Facebook,Adulto,88,8,0
14,Facebook,Senior,456,161,0
72,Instagram,Senior,251,191,0
45,YouTube,Senior,153,65,0
34,Facebook,Senior,331,151,0
87,Instagram,Senior,438,128,0
53,Facebook,Senior,240,111,0
67,Facebook,Joven,581,181,0
11,Facebook,Senior,90,135,0
90,YouTube,Joven,392,192,1
46,YouTube,Adulto,360,153,0
85,YouTube,Adulto,511,8,0
98,Facebook,Joven,481,182,0
69,Facebook,Adulto,481,121,0
54,Facebook,Senior,340,73,0
100,Facebook,Senior,567,25,0
115,Instagram,Senior,850,83,0
92,Instagram,Adulto,477,164,0
91,Instagram,Joven,162,3,0
10,Facebook,Senior,472,53,0
21,Instagram,Adulto,214,152,0
41,Facebook,Senior,9,73,0
47,Instagram,Joven,499,11,0
115,YouTube,Adulto,157,188,0
91,YouTube,Adulto,494,156,0
56,YouTube,Adulto,931,47,0
96,Instagram,Senior,16,163,0
57,Facebook,Adulto,357,177,0
64,Facebook,Adulto,480,135,0
76,Facebook,Senior,618,108,1
100,Facebook,Joven,266,150,0
88,YouTube,Senior,990,124,1
94,Facebook,Joven,57,109,0
12,Instagram,Adulto,670,106,0
97,Facebook,Senior,774,186,0
18,YouTube,Senior,197,130,1
53,Facebook,Senior,432,3,0
26,Facebook,Adulto,94,86,0
104,Facebook,Senior,718,2,0
102,YouTube,Adulto,58,79,0
95,Instagram,Adulto,704,183,0
48,Instagram,Adulto,226,120,0
78,Instagram,Adulto,83,55,0
57,YouTube,Adulto,168,7,0
69,Instagram,Adulto,87,105,0
100,YouTube,Senior,702,41,0
75,YouTube,Senior,625,197,1
72,Instagram,Joven,652,3,0
13,Instagram,Joven,952,46,0
27,Instagram,Senior,589,134,0
29,Facebook,Adulto,5,11,0
22,Facebook,Senior,399,5,0
88,YouTube,Senior,310,44,1
109,Facebook,Joven,279,60,1
97,YouTube,Joven,766,51,1
104,YouTube,Joven,421,48,1
52,YouTube,Joven,813,199,0
55,Facebook,Joven,574,88,1
12,Instagram,Adulto,39,137,0
35,YouTube,Joven,755,80,0
65,YouTube,Joven,615,168,0
78,Facebook,Adulto,662,73,0
66,Facebook,Joven,526,30,1
12,Instagram,Joven,442,145,0
103,Facebook,Joven,798,108,1
88,Facebook,Adulto,831,61,0
99,Facebook,Adulto,131,36,0
102,Instagram,Adulto,995,0,1
80,Facebook,Senior,490,51,0
104,Facebook,Joven,96,100,0
111,Facebook,Senior,225,105,0
75,Facebook,Adulto,913,173,1
98,Instagram,Joven,782,106,1
40,Facebook,Joven,151,189,0
108,Facebook,Senior,648,174,0
41,YouTube,Joven,527,160,1
30,Facebook,Adulto,579,126,0
70,YouTube,Senior,695,105,0
92,Facebook,Senior,470,188,0
14,YouTube,Senior,746,126,0
46,Instagram,Adulto,449,187,0
16,Instagram,Adulto,559,183,1
34,YouTube,Adulto,781,123,0
112,Instagram,Joven,951,69,0
74,Instagram,Adulto,614,161,0
10,Facebook,Joven,895,129,0
79,YouTube,Adulto,381,136,1
72,YouTube,Joven,518,83,1
62,Facebook,Joven,531,124,0
22,Instagram,Joven,335,90,0
109,Instagram,Senior,185,187,0
107,Facebook,Adulto,526,191,0
10,YouTube,Adulto,141,196,0
74,Instagram,Adulto,728,99,1
106,Instagram,Adulto,468,131,0
95,Instagram,Senior,774,46,0
88,Instagram,Senior,81,140,0
103,Instagram,Joven,17,107,0
39,Instagram,Joven,41,89,0
34,YouTube,Senior,632,108,0
49,YouTube,Adulto,193,94,0
31,Facebook,Adulto,933,40,0
71,Instagram,Senior,492,65,0
89,YouTube,Joven,95,84,1
78,Instagram,Joven,120,17,0
81,Instagram,Adulto,262,74,0
41,YouTube,Adulto,536,15,0
11,Facebook,Adulto,703,41,0
46,YouTube,Joven,332,111,0
73,Facebook,Senior,562,31,1
69,Instagram,Senior,62,126,0
14,Instagram,Senior,113,128,0
45,Facebook,Joven,442,69,0
103,Instagram,Joven,732,1,1
43,Facebook,Senior,466,43,0
80,YouTube,Joven,489,198,0
32,YouTube,Adulto,345,195,0
59,Facebook,Senior,138,127,0
28,Instagram,Joven,275,81,0
63,YouTube,Adulto,751,137,0
46,Instagram,Joven,249,177,0
108,Facebook,Adulto,822,190,1
20,YouTube,Adulto,798,6,0
78,YouTube,Joven,507,154,1
69,YouTube,Adulto,888,81,1
99,Facebook,Senior,867,20,0
83,Instagram,Joven,708,94,1
12,Instagram,Joven,368,175,0
40,YouTube,Joven,940,79,1
38,YouTube,Adulto,18,156,1
59,Instagram,Adulto,998,57,1
74,Facebook,Adulto,335,19,0
33,Instagram,Adulto,777,174,0
54,YouTube,Adulto,714,18,1
46,Facebook,Adulto,490,37,0
34,Instagram,Joven,751,100,0
54,Instagram,Senior,399,41,0
51,Instagram,Senior,183,70,0
36,YouTube,Joven,60,193,0
101,Facebook,Senior,490,195,0
75,Instagram,Joven,315,198,0
93,YouTube,Senior,969,141,0
60,YouTube,Joven,463,177,0
25,YouTube,Senior,568,101,1
16,YouTube,Senior,99,185,0
61,Facebook,Adulto,323,126,0
53,Instagram,Senior,192,41,0
102,Facebook,Senior,893,146,0
66,Facebook,Senior,373,122,0
90,YouTube,Adulto,687,178,0
62,Instagram,Joven,200,51,0
84,Instagram,Joven,305,185,0
96,YouTube,Joven,179,191,0
25,YouTube,Adulto,412,38,0
44,Instagram,Senior,187,32,0
42,Instagram,Senior,299,61,0
55,Facebook,Senior,547,42,1
96,Instagram,Senior,423,165,1
43,YouTube,Joven,586,22,0
56,YouTube,Senior,964,141,0
99,Facebook,Adulto,756,74,0
101,YouTube,Adulto,705,139,0
50,Instagram,Joven,212,29,0
79,YouTube,Senior,213,192,0
80,YouTube,Joven,678,59,0
47,Facebook,Joven,731,192,0
112,Instagram,Senior,336,187,0
66,YouTube,Senior,15,87,1
10,Instagram,Joven,282,98,0
67,Facebook,Adulto,821,197,0
15,Instagram,Joven,252,99,0
90,Facebook,Joven,971,75,0
71,Instagram,Joven,960,90,0
