edad,ingreso_mensual,hist_crediticia,nivel_educativo,tiempo_laboral_meses,cuota_vs_ingreso,default
30,3926,Buena,Secundaria,53,0.32,0
59,6074,Buena,Secundaria,107,0.13,0
62,4739,Buena,Secundaria,22,0.25,0
34,2666,Buena,Universitario,68,0.49,0
53,5149,Mala,Universitario,21,0.11,0
43,2744,Regular,Tecnico,206,0.26,0
37,4919,Buena,Universitario,113,0.45,1
61,1286,Buena,Tecnico,8,0.47,0
50,1617,Buena,Universitario,237,0.27,0
52,3324,Buena,Universitario,126,0.23,0
33,7647,Buena,Secundaria,229,0.3,0
42,4560,Buena,Tecnico,158,0.11,0
24,2361,Buena,Tecnico,231,0.11,0
43,6094,Buena,Secundaria,162,0.11,0
30,6495,Buena,Tecnico,79,0.56,0
52,1577,Regular,Tecnico,19,0.5,0
30,6395,Buena,Secundaria,157,0.47,0
23,4538,Regular,Secundaria,134,0.16,0
39,6631,Buena,Tecnico,171,0.3,0
43,5936,Buena,Secundaria,158,0.33,0
40,1791,Regular,Tecnico,100,0.56,1
43,5207,Regular,Universitario,235,0.42,0
35,1619,Buena,Secundaria,66,0.6,0
62,4838,Regular,Secundaria,90,0.58,0
42,2750,Mala,Secundaria,90,0.5,0
49,7456,Buena,Tecnico,94,0.14,0
52,4159,Buena,Universitario,51,0.52,0
47,4987,Buena,Secundaria,71,0.14,0
31,6247,Regular,Universitario,67,0.49,0
62,7308,Mala,Tecnico,46,0.21,0
23,3782,Regular,Tecnico,221,0.28,0
35,5213,Buena,Secundaria,216,0.27,0
40,7514,Buena,Tecnico,74,0.21,0
32,4592,Mala,Tecnico,123,0.13,0
33,3857,Regular,Universitario,56,0.41,0
29,4351,Regular,Tecnico,197,0.38,0
63,3680,Buena,Universitario,112,0.29,0
47,1672,Regular,Tecnico,59,0.22,0
61,6387,Buena,Universitario,26,0.34,0
21,5994,Regular,Universitario,116,0.33,0
58,6021,Regular,Tecnico,73,0.34,0
30,4104,Regular,Tecnico,106,0.18,0
30,6908,Buena,Tecnico,95,0.44,0
45,3495,Mala,Secundaria,193,0.47,1
49,4284,Buena,Tecnico,46,0.51,0
42,2679,Mala,Tecnico,24,0.37,0
47,4355,Buena,Secundaria,93,0.2,0
25,3969,Buena,Secundaria,135,0.58,0
24,3682,Buena,Secundaria,40,0.55,0
40,2754,Regular,Secundaria,176,0.53,0
38,6781,Mala,Tecnico,38,0.44,0
60,1217,Buena,Tecnico,100,0.54,0
40,1971,Regular,Universitario,219,0.38,0
22,3088,Buena,Universitario,234,0.53,0
37,7380,Mala,Secundaria,163,0.11,0
51,3222,Buena,Tecnico,38,0.45,0
26,5538,Regular,Secundaria,119,0.58,0
30,4101,Buena,Universitario,41,0.53,1
48,3788,Buena,Tecnico,171,0.48,0
29,5433,Buena,Universitario,84,0.35,0
63,2845,Buena,Secundaria,140,0.3,0
27,3304,Buena,Universitario,36,0.56,0
22,6047,Buena,Universitario,182,0.3,0
51,1918,Buena,Universitario,140,0.2,0
47,4702,Buena,Secundaria,31,0.21,0
46,5087,Buena,Secundaria,191,0.3,0
52,7943,Regular,Secundaria,195,0.48,0
25,1923,Regular,Secundaria,9,0.22,0
48,2045,Regular,Secundaria,75,0.29,0
20,6401,Buena,Tecnico,48,0.34,0
51,5852,Mala,Universitario,113,0.28,0
55,3752,Buena,Universitario,65,0.41,0
45,5889,Buena,Universitario,127,0.26,0
58,5712,Buena,Secundaria,66,0.25,0
25,5985,Buena,Secundaria,239,0.57,0
64,2582,Regular,Tecnico,174,0.33,0
38,4572,Regular,Universitario,35,0.15,0
38,4362,Mala,Secundaria,188,0.16,0
30,3569,Buena,Universitario,117,0.43,0
46,1745,Regular,Tecnico,123,0.5,0
43,2482,Regular,Universitario,215,0.5,0
46,7961,Buena,Tecnico,11,0.59,0
29,5016,Buena,Tecnico,3,0.28,0
58,6559,Buena,Secundaria,165,0.3,0
42,5928,Buena,Secundaria,148,0.38,0
38,3417,Regular,Tecnico,167,0.17,0
34,6584,Regular,Tecnico,104,0.44,0
20,7629,Regular,Secundaria,184,0.46,0
54,5976,Regular,Secundaria,195,0.2,0
48,7171,Buena,Tecnico,87,0.37,0
26,5899,Mala,Tecnico,60,0.43,0
36,5262,Buena,Tecnico,233,0.17,0
49,3031,Buena,Universitario,155,0.3,0
34,3736,Regular,Secundaria,212,0.27,0
27,1381,Buena,Universitario,140,0.37,0
64,3888,Buena,Universitario,162,0.17,0
58,5695,Regular,Universitario,205,0.38,0
43,5413,Buena,Secundaria,144,0.46,0
34,5706,Buena,Secundaria,33,0.58,0
51,6385,Buena,Universitario,38,0.27,0
37,5135,Buena,Secundaria,37,0.3,0
57,7406,Buena,Secundaria,145,0.11,0
44,4386,Buena,Universitario,38,0.47,0
50,7061,Buena,Tecnico,44,0.43,0
21,2531,Buena,Tecnico,38,0.58,0
35,6207,Buena,Universitario,19,0.19,0
27,4507,Buena,Universitario,238,0.46,0
23,6309,Buena,Tecnico,167,0.44,1
62,7958,Buena,Tecnico,75,0.37,0
30,4761,Buena,Secundaria,89,0.55,0
35,6193,Regular,Secundaria,204,0.43,0
47,6433,Buena,Secundaria,134,0.17,0
39,7194,Buena,Universitario,184,0.25,0
47,4989,Regular,Universitario,8,0.55,0
22,2610,Regular,Universitario,1,0.56,0
42,4119,Buena,Secundaria,205,0.2,0
42,7753,Buena,Secundaria,225,0.11,0
24,5000,Regular,Universitario,78,0.37,0
21,3569,Buena,Tecnico,195,0.11,0
45,3932,Buena,Secundaria,22,0.19,0
56,5367,Regular,Universitario,124,0.22,0
61,3217,Buena,Universitario,192,0.23,0
32,6359,Buena,Universitario,83,0.41,0
20,7700,Buena,Tecnico,60,0.33,0
39,5162,Buena,Secundaria,216,0.16,0
41,1648,Regular,Universitario,117,0.37,0
31,7603,Buena,Secundaria,28,0.18,0
63,1364,Buena,Tecnico,34,0.33,0
50,5061,Buena,Secundaria,124,0.5,0
36,6701,Buena,Tecnico,238,0.59,1
35,7844,Regular,Tecnico,60,0.5,1
50,6166,Buena,Universitario,41,0.28,0
46,6823,Regular,Secundaria,67,0.55,0
53,7594,Regular,Secundaria,120,0.12,0
62,7400,Buena,Secundaria,81,0.1,0
46,2194,Regular,Tecnico,134,0.22,0
51,3837,Mala,Universitario,107,0.56,0
28,2732,Regular,Tecnico,106,0.35,0
56,7678,Regular,Secundaria,88,0.54,0
44,1483,Regular,Secundaria,79,0.15,0
32,1515,Buena,Tecnico,124,0.51,0
44,2778,Buena,Universitario,231,0.22,0
50,7473,Buena,Tecnico,205,0.36,0
43,1435,Mala,Universitario,173,0.47,0
29,2776,Regular,Secundaria,93,0.28,0
52,7324,Buena,Universitario,188,0.43,1
26,4551,Buena,Tecnico,111,0.31,0
49,6301,Regular,Secundaria,127,0.37,0
37,4096,Buena,Tecnico,106,0.33,0
31,7414,Buena,Secundaria,222,0.59,0
60,2201,Regular,Universitario,54,0.53,0
50,7435,Buena,Universitario,118,0.49,0
54,5714,Buena,Tecnico,13,0.6,0
30,1228,Buena,Secundaria,90,0.24,0
26,7692,Mala,Tecnico,10,0.32,1
60,4579,Regular,Secundaria,183,0.37,0
59,7155,Regular,Tecnico,89,0.24,0
34,7677,Buena,Universitario,29,0.33,0
21,1512,Buena,Universitario,178,0.48,0
32,7992,Buena,Universitario,27,0.21,0
41,5834,Buena,Secundaria,9,0.38,0
22,2245,Regular,Secundaria,124,0.3,0
58,7573,Buena,Universitario,123,0.6,0
29,4080,Buena,Tecnico,108,0.39,0
61,3087,Regular,Tecnico,157,0.37,0
29,1296,Buena,Secundaria,213,0.24,0
57,2615,Regular,Universitario,38,0.53,1
63,5217,Buena,Universitario,67,0.43,1
27,4238,Buena,Tecnico,193,0.58,0
37,4397,Buena,Tecnico,82,0.17,0
31,7886,Buena,Universitario,203,0.54,0
25,5995,Regular,Tecnico,219,0.13,0
61,4825,Regular,Secundaria,149,0.3,0
53,1234,Buena,Tecnico,192,0.46,1
62,5162,Regular,Tecnico,158,0.52,0
48,4369,Regular,Universitario,114,0.53,0
38,5542,Buena,Tecnico,3,0.38,0
28,2723,Buena,Secundaria,184,0.15,0
49,5372,Regular,Secundaria,154,0.19,0
41,2961,Buena,Secundaria,23,0.45,0
47,5143,Mala,Secundaria,85,0.17,0
61,6485,Buena,Universitario,89,0.44,0
58,6056,Mala,Secundaria,41,0.35,0
33,2131,Buena,Secundaria,98,0.19,0
42,7806,Buena,Tecnico,187,0.26,0
34,7826,Regular,Secundaria,227,0.2,0
39,5399,Buena,Tecnico,238,0.16,0
46,2488,Regular,Universitario,193,0.44,0
54,6459,Regular,Universitario,227,0.5,0
44,1387,Regular,Secundaria,172,0.2,0
25,5448,Buena,Tecnico,40,0.44,0
63,1464,Buena,Universitario,221,0.29,0
35,3968,Buena,Secundaria,128,0.24,0
33,7842,Buena,Tecnico,108,0.49,0
23,3895,Buena,Universitario,158,0.54,0
54,5256,Mala,Universitario,219,0.41,1
33,3507,Regular,Secundaria,71,0.11,0
40,5768,Regular,Tecnico,1,0.44,0
59,4451,Mala,Universitario,50,0.14,0
26,3342,Buena,Tecnico,20,0.26,0
32,4471,Buena,Secundaria,168,0.24,0
55,5073,Regular,Tecnico,33,0.16,0
25,4998,Buena,Universitario,25,0.35,0
48,7314,Buena,Secundaria,45,0.59,0
44,3709,Buena,Tecnico,88,0.58,0
64,5327,Regular,Tecnico,29,0.52,0
43,3435,Buena,Tecnico,121,0.29,0
37,6132,Buena,Secundaria,44,0.14,0
61,6283,Buena,Universitario,2,0.56,1
47,4816,Buena,Universitario,201,0.58,0
63,3835,Buena,Secundaria,82,0.28,0
48,1384,Regular,Universitario,35,0.12,0
21,4953,Regular,Secundaria,210,0.5,0
42,3275,Buena,Secundaria,96,0.32,0
49,5123,Buena,Secundaria,160,0.19,0
63,6947,Regular,Tecnico,194,0.24,0
20,4561,Mala,Universitario,88,0.35,0
47,2724,Buena,Tecnico,8,0.55,0
35,6074,Buena,Secundaria,150,0.45,0
59,2979,Buena,Tecnico,212,0.17,0
46,1685,Buena,Universitario,26,0.1,0
40,2569,Regular,Tecnico,114,0.29,0
30,1218,Mala,Tecnico,26,0.42,0
37,6312,Buena,Tecnico,165,0.28,0
43,1485,Buena,Universitario,58,0.19,0
31,5275,Buena,Tecnico,81,0.49,1
51,1474,Buena,Secundaria,80,0.29,0
37,2532,Regular,Secundaria,192,0.33,0
33,6833,Mala,Secundaria,205,0.41,1
30,4917,Buena,Tecnico,94,0.44,1
60,3037,Buena,Universitario,218,0.18,0
52,6017,Buena,Universitario,76,0.25,0
49,5089,Mala,Universitario,50,0.36,0
34,2463,Buena,Secundaria,98,0.2,0
54,1940,Buena,Secundaria,209,0.33,0
58,5990,Buena,Universitario,116,0.52,0
49,7097,Buena,Secundaria,239,0.28,0
55,6229,Regular,Tecnico,111,0.41,0
33,4933,Buena,Universitario,201,0.53,1
59,1248,Buena,Tecnico,145,0.1,0
47,1451,Buena,Universitario,207,0.16,0
41,2516,Regular,Secundaria,1,0.45,1
52,5732,Buena,Universitario,210,0.28,0
33,4028,Buena,Universitario,227,0.1,0
35,4823,Buena,Universitario,126,0.22,0
56,2799,Buena,Secundaria,25,0.26,0
46,4907,Regular,Universitario,217,0.51,1
57,1879,Regular,Tecnico,140,0.39,0
48,4125,Buena,Universitario,19,0.25,0
20,3660,Buena,Secundaria,172,0.36,0
41,2566,Regular,Secundaria,142,0.48,0
34,3128,Buena,Secundaria,22,0.59,0
21,5651,Buena,Secundaria,99,0.57,0
56,3815,Buena,Universitario,145,0.54,0
28,6047,Buena,Tecnico,194,0.27,0
50,4446,Regular,Secundaria,209,0.32,0
60,6042,Buena,Universitario,215,0.42,0
49,2636,Buena,Secundaria,54,0.31,0
40,4456,Mala,Secundaria,222,0.17,1
52,5401,Mala,Universitario,78,0.37,0
